flag,Psal,Temp,Patm,P,pH,CO2,fCO2,pCO2,fCO2pot,pCO2pot,fCO2insitu,pCO2insitu,HCO3,CO3,DIC,ALK,OmegaAragonite,OmegaCalcite,SIR,dist,location,lon,lat,nlocation
8,35.780216217041016,15.82555866241455,1,0,8.115022659301758,1.2260439725212042e-5,336.93438908465833,338.1428099196005,336.93438908465833,338.1428099196005,336.93438908465833,338.1428115454658,0.001880436862815226,1.90772462192497e-4,0.002083469764732935,0.002352575439453125,2.9176357259424925,4.530599752183751,0.2450650707890566,31039.898186433435,São Martinho do Porto,-9.14,39.52,19
8,35.58816146850586,16.362709045410156,1,0,8.135799407958984,1.1317716845383895e-5,315.64161107063626,316.7660393796057,315.64161107063626,316.7660393796057,315.64161107063626,316.76604079048434,0.0018405628034042678,0.00019903783719763917,0.0020509183574472906,0.002333347412109375,3.05175281783783,4.734379808826055,0.2516228336939718,75334.74324536083,Redondela,-8.63,42.29,18
8,35.39003372192383,15.542115211486816,1,0,8.199666023254395,9.829567598292022e-6,267.19165417442434,268.153440747569,267.19165417442434,268.153440747569,267.19165417442434,268.15344177638383,0.0018141019410741407,2.1920448899757564e-4,0.002043135997670009,0.002355882568359375,3.357095990066681,5.219246188375155,0.287294764201521,30160.753693185772,Quiberon (Port Haliguen),-3.1,47.49,17
8,35.14042282104492,13.446385383605957,1,0,8.174633979797363,1.124857697774259e-5,286.35566472293516,287.41443646308676,286.35566472293516,287.41443646308676,286.35566472293516,287.4144376987048,0.0018609808541463415,1.9466567814025457e-4,0.002066895109264339,0.002343276611328125,2.96984881843744,4.6395247691193315,0.2782120170470568,45581.79435161988,Ile de Batz,-4.01,48.75,16
8,35.131736755371094,12.705692291259766,1,0,8.071859359741211,1.4986806491720136e-5,372.75243086328993,374.1439321333659,372.75243086328993,374.1439321333659,372.75243086328993,374.1439342603735,0.0019219261952625655,1.5415208536312308e-4,0.002091065087117409,0.00230549462890625,2.348082643908311,3.673655335099052,0.22677546485807837,39744.89634853352,Shoreham (Harbour),-0.25,50.82,15
8,35.43082809448242,10.628485679626465,1,0,8.0809965133667,1.5533994793963752e-5,362.1325791473688,363.5210330204461,362.1325791473688,363.5210330204461,362.1325791473688,363.52103511879915,0.0019367526226044905,1.4732604021329334e-4,0.002099612657611748,0.00230479296875,2.2321428854322116,3.5041895708835114,0.2333837781093012,36697.53612356317,Mumbles,-3.98,51.56,14
8,34.29633331298828,11.109971046447754,1,0,8.1219482421875,1.3786340424753169e-5,324.1264881540944,325.36180625676263,324.1264881540944,325.36180625676263,324.1264881540944,325.3618079213406,0.0018932606203847576,1.569853524744851e-4,0.0020640323132839955,0.00228413671875,2.3927505213400955,3.760085744763481,0.2507024879598267,43080.78390196366,Berwick upon Tweed,-1.99,55.77,13
8,34.29633331298828,11.109971046447754,1,0,8.1219482421875,1.3786340424753169e-5,324.1264881540944,325.36180625676263,324.1264881540944,325.36180625676263,324.1264881540944,325.3618079213406,0.0018932606203847576,1.569853524744851e-4,0.0020640323132839955,0.00228413671875,2.3927505213400955,3.760085744763481,0.2507024879598267,58355.59926137764,St Abbs,-2.12,55.89,12
8,35.39885711669922,10.866899490356445,1,0,8.127429008483887,1.3747916692211526e-5,322.9304157801748,324.1647024342476,322.9304157801748,324.1647024342476,322.9304157801748,324.16470409440194,0.001918520167986379,1.6380825633742976e-4,0.0020960763410160206,0.002326706298828125,2.4832424834284885,3.896921194901236,0.25727369115225124,31753.864082167278,Voe,-1.16,60.27,11
8,35.39885711669922,10.866899490356445,1,0,8.127429008483887,1.3747916692211526e-5,322.9304157801748,324.1647024342476,322.9304157801748,324.1647024342476,322.9304157801748,324.16470409440194,0.001918520167986379,1.6380825633742976e-4,0.0020960763410160206,0.002326706298828125,2.4832424834284885,3.896921194901236,0.25727369115225124,13923.050123121402,Mavis Grind (East),-1.38,60.39,10
8,32.644981384277344,9.859838485717773,1,0,8.118481636047363,1.4608017342841816e-5,326.23855950356113,327.5027189018925,326.23855950356113,327.5027189018925,326.23855950356113,327.5027206350462,0.0018983347983613185,1.4281522133009007e-4,0.00205575803703425,0.002253185791015625,2.185327862707342,3.453470226433199,0.24937587961581317,30983.366785989318,Ramsøy,5.05,60.44,9
8,32.644981384277344,9.859838485717773,1,0,8.118481636047363,1.4608017342841816e-5,326.23855950356113,327.5027189018925,326.23855950356113,327.5027189018925,326.23855950356113,327.5027206350462,0.0018983347983613185,1.4281522133009007e-4,0.00205575803703425,0.002253185791015625,2.185327862707342,3.453470226433199,0.24937587961581317,35773.081593359406,Hoplandsjøen (Harbour),4.91,60.75,7
8,32.644981384277344,9.859838485717773,1,0,8.118481636047363,1.4608017342841816e-5,326.23855950356113,327.5027189018925,326.23855950356113,327.5027189018925,326.23855950356113,327.5027206350462,0.0018983347983613185,1.4281522133009007e-4,0.00205575803703425,0.002253185791015625,2.185327862707342,3.453470226433199,0.24937587961581317,35773.081593359406,Hoplandsjøen (outer),4.91,60.75,8
8,35.271278381347656,10.426126480102539,1,0,8.126579284667969,1.3988339575563612e-5,323.6190433192265,324.8630904827648,323.6190433192265,324.8630904827648,323.6190433192265,324.8630921659079,0.001924520588985876,1.6070611724144189e-4,0.002099215045802881,0.002325078369140625,2.4358947834491698,3.8263165326561905,0.2575738955608422,15072.27308359951,Suðuroy,-6.78,61.52,6
8,35.20421600341797,10.436285972595215,1,0,8.146949768066406,1.3235730680173364e-5,306.1792958600115,307.356143696966,306.1792958600115,307.356143696966,306.1792958600115,307.3561452032999,0.0019078361564523836,1.6676663866096493e-4,0.002087838525793522,0.002323419921875,2.528588723232231,3.972254751582202,0.26760291700608874,29041.310660713007,Tjørnuvík,-7.14,62.3,5
8,32.83977508544922,9.627171516418457,1,0,8.129708290100098,1.4187866993647795e-5,314.80671652495283,316.0301956211911,314.80671652495283,316.0301956211911,314.80671652495283,316.03019724293796,0.001884289667727219,1.448434573232797e-4,0.0020433209920441464,0.0022448330078125,2.2139998455591283,3.4985702829193075,0.25401300766670426,15168.226008486668,Lurøy,12.6,66.37,4
8,34.27130889892578,4.870222091674805,1,0,8.179168701171875,1.452564080257869e-5,275.84716846364404,276.98796532520186,275.84716846364404,276.98796532520186,275.84716846364404,276.98796670405386,0.0019272494687215982,1.4222919697875222e-4,0.002084004306502929,0.002284419921875,2.150995711684763,3.4122878241300842,0.2911431897448867,19100.9169269313,Fljótavík,-22.91,66.45,3
8,33.72432327270508,7.624551296234131,1,0,8.13875961303711,1.4840789414712549e-5,309.4614241295668,310.6957245032285,309.4614241295668,310.6957245032285,309.4614241295668,310.69572613866626,0.0019253741293109227,1.42670271687004e-4,0.0020828851904126392,0.002281600341796875,2.1675519824158824,3.4294648340539062,0.2650176173179062,12442.194298508794,Litløya,14.32,68.59,2
8,34.03190994262695,8.015874862670898,1,0,8.155264854431152,1.3989213594717892e-5,296.21803119552834,297.3933787867386,296.21803119552834,297.3933787867386,296.21803119552834,297.39338027248186,0.0019102950534662677,1.5044818293981864e-4,0.002074732450000804,0.00228600439453125,2.2842868351025207,3.609882681796478,0.27312742202858414,56913.690669908305,Bjarkøy,16.54,68.99,1
