Temp,ALK,SIR,shell_length,fshape,preds,se
10.020573030594548,0.002301403973524303,0.2567400100341701,2580.5490522650657,PC2,1.5150545503684858,0.012336933032432568
10.024405136947912,0.002301403973524303,0.2567400100341701,2580.5490522650657,PC2,1.515019104409439,0.012329900854843642
10.028237243301275,0.002301403973524303,0.2567400100341701,2580.5490522650657,PC2,1.514983717014567,0.012322895873058438
10.032069349654638,0.002301403973524303,0.2567400100341701,2580.5490522650657,PC2,1.5149483882274122,0.012315918061913397
10.035901456008,0.002301403973524303,0.2567400100341701,2580.5490522650657,PC2,1.5149131180915165,0.012308967396135562
10.039733562361363,0.002301403973524303,0.2567400100341701,2580.5490522650657,PC2,1.514877906650422,0.012302043850343307
10.043565668714727,0.002301403973524303,0.2567400100341701,2580.5490522650657,PC2,1.5148427539476712,0.012295147399047052
10.047397775068088,0.002301403973524303,0.2567400100341701,2580.5490522650657,PC2,1.5148076600268061,0.012288278016650039
10.051229881421452,0.002301403973524303,0.2567400100341701,2580.5490522650657,PC2,1.5147726249313684,0.01228143567744901
10.055061987774815,0.002301403973524303,0.2567400100341701,2580.5490522650657,PC2,1.514737648704901,0.012274620355635039
10.058894094128178,0.002301403973524303,0.2567400100341701,2580.5490522650657,PC2,1.5147027313909451,0.012267832025294212
10.062726200481542,0.002301403973524303,0.2567400100341701,2580.5490522650657,PC2,1.5146678730330438,0.01226107066040843
10.066558306834903,0.002301403973524303,0.2567400100341701,2580.5490522650657,PC2,1.5146330736747387,0.012254336234856176
10.070390413188267,0.002301403973524303,0.2567400100341701,2580.5490522650657,PC2,1.5145983333595718,0.012247628722413256
10.07422251954163,0.002301403973524303,0.2567400100341701,2580.5490522650657,PC2,1.5145636521310857,0.012240948096753617
10.078054625894993,0.002301403973524303,0.2567400100341701,2580.5490522650657,PC2,1.5145290300328222,0.012234294331450108
10.081886732248355,0.002301403973524303,0.2567400100341701,2580.5490522650657,PC2,1.5144944671083234,0.012227667399975271
10.085718838601718,0.002301403973524303,0.2567400100341701,2580.5490522650657,PC2,1.514459963401132,0.012221067275702142
10.089550944955082,0.002301403973524303,0.2567400100341701,2580.5490522650657,PC2,1.5144255189547893,0.012214493931905046
10.093383051308443,0.002301403973524303,0.2567400100341701,2580.5490522650657,PC2,1.514391133812838,0.012207947341760419
10.097215157661807,0.002301403973524303,0.2567400100341701,2580.5490522650657,PC2,1.5143568080188199,0.012201427478347588
10.10104726401517,0.002301403973524303,0.2567400100341701,2580.5490522650657,PC2,1.5143225416162778,0.012194934314649637
10.104879370368533,0.002301403973524303,0.2567400100341701,2580.5490522650657,PC2,1.514288334648753,0.012188467823554181
10.108711476721897,0.002301403973524303,0.2567400100341701,2580.5490522650657,PC2,1.514254187159788,0.012182027977854224
10.112543583075258,0.002301403973524303,0.2567400100341701,2580.5490522650657,PC2,1.514220099192925,0.012175614750248991
10.116375689428622,0.002301403973524303,0.2567400100341701,2580.5490522650657,PC2,1.514186070791706,0.012169228113344754
10.120207795781985,0.002301403973524303,0.2567400100341701,2580.5490522650657,PC2,1.5141521019996733,0.012162868039655694
10.124039902135348,0.002301403973524303,0.2567400100341701,2580.5490522650657,PC2,1.5141181928603693,0.012156534501604751
10.12787200848871,0.002301403973524303,0.2567400100341701,2580.5490522650657,PC2,1.5140843434173352,0.012150227471524454
10.131704114842073,0.002301403973524303,0.2567400100341701,2580.5490522650657,PC2,1.514050553714114,0.01214394692165782
10.135536221195437,0.002301403973524303,0.2567400100341701,2580.5490522650657,PC2,1.5140168237942477,0.012137692824159201
10.139368327548798,0.002301403973524303,0.2567400100341701,2580.5490522650657,PC2,1.513983153701278,0.012131465151095158
10.143200433902162,0.002301403973524303,0.2567400100341701,2580.5490522650657,PC2,1.5139495434787476,0.012125263874445328
10.147032540255525,0.002301403973524303,0.2567400100341701,2580.5490522650657,PC2,1.5139159931701982,0.012119088966103335
10.150864646608888,0.002301403973524303,0.2567400100341701,2580.5490522650657,PC2,1.5138825028191722,0.012112940397877652
10.15469675296225,0.002301403973524303,0.2567400100341701,2580.5490522650657,PC2,1.5138490724692115,0.012106818141492509
10.158528859315613,0.002301403973524303,0.2567400100341701,2580.5490522650657,PC2,1.5138157021638585,0.012100722168588778
10.162360965668977,0.002301403973524303,0.2567400100341701,2580.5490522650657,PC2,1.5137823919466553,0.01209465245072489
10.166193072022338,0.002301403973524303,0.2567400100341701,2580.5490522650657,PC2,1.513749141861144,0.012088608959377753
10.170025178375703,0.002301403973524303,0.2567400100341701,2580.5490522650657,PC2,1.5137159519508665,0.01208259166594362
10.173857284729065,0.002301403973524303,0.2567400100341701,2580.5490522650657,PC2,1.5136828222593652,0.012076600541739065
10.177689391082428,0.002301403973524303,0.2567400100341701,2580.5490522650657,PC2,1.5136497528301824,0.012070635558001875
10.181521497435792,0.002301403973524303,0.2567400100341701,2580.5490522650657,PC2,1.51361674370686,0.01206469668589198
10.185353603789153,0.002301403973524303,0.2567400100341701,2580.5490522650657,PC2,1.5135837949329398,0.012058783896492405
10.189185710142517,0.002301403973524303,0.2567400100341701,2580.5490522650657,PC2,1.5135509065519646,0.012052897160810174
10.19301781649588,0.002301403973524303,0.2567400100341701,2580.5490522650657,PC2,1.513518078607476,0.012047036449777303
10.196849922849243,0.002301403973524303,0.2567400100341701,2580.5490522650657,PC2,1.5134853111430164,0.0120412017342517
10.200682029202605,0.002301403973524303,0.2567400100341701,2580.5490522650657,PC2,1.5134526042021281,0.012035392985018153
10.204514135555968,0.002301403973524303,0.2567400100341701,2580.5490522650657,PC2,1.5134199578283531,0.012029610172789272
10.208346241909332,0.002301403973524303,0.2567400100341701,2580.5490522650657,PC2,1.513387372065233,0.012023853268206448
10.212178348262693,0.002301403973524303,0.2567400100341701,2580.5490522650657,PC2,1.513354846956311,0.012018122241840845
10.216010454616058,0.002301403973524303,0.2567400100341701,2580.5490522650657,PC2,1.5133223825451283,0.012012417064194338
10.21984256096942,0.002301403973524303,0.2567400100341701,2580.5490522650657,PC2,1.5132899788752274,0.012006737705700522
10.223674667322783,0.002301403973524303,0.2567400100341701,2580.5490522650657,PC2,1.5132576359901506,0.012001084136725671
10.227506773676147,0.002301403973524303,0.2567400100341701,2580.5490522650657,PC2,1.5132253539334397,0.011995456327569733
10.231338880029508,0.002301403973524303,0.2567400100341701,2580.5490522650657,PC2,1.5131931327486372,0.011989854248467338
