country,location,lat,lon,year,sampleID,sampleNo,folder,picname
France,Ile de Batz,48.75,-4.01,1972,1,68,France_Ile_de_Batz_1971,ID1-68
France,Ile de Batz,48.75,-4.01,1972,1,69,France_Ile_de_Batz_1971,ID1-69
France,Ile de Batz,48.75,-4.01,1972,1,70,France_Ile_de_Batz_1971,ID1-70
France,Ile de Batz,48.75,-4.01,1972,1,71,France_Ile_de_Batz_1971,ID1-71
France,Ile de Batz,48.75,-4.01,1972,1,72,France_Ile_de_Batz_1971,ID1-72
France,Ile de Batz,48.75,-4.01,1972,1,73,France_Ile_de_Batz_1971,ID1-73
France,Ile de Batz,48.75,-4.01,1972,1,74,France_Ile_de_Batz_1971,ID1-74
France,Ile de Batz,48.75,-4.01,1972,1,75,France_Ile_de_Batz_1971,ID1-75
France,Ile de Batz,48.75,-4.01,1972,1,76,France_Ile_de_Batz_1971,ID1-76
France,Ile de Batz,48.75,-4.01,1972,1,77,France_Ile_de_Batz_1971,ID1-77
France,Ile de Batz,48.75,-4.01,1972,1,78,France_Ile_de_Batz_1971,ID1-78
France,Ile de Batz,48.75,-4.01,1972,1,79,France_Ile_de_Batz_1971,ID1-79
France,Ile de Batz,48.75,-4.01,1972,1,80,France_Ile_de_Batz_1971,ID1-80
France,Ile de Batz,48.75,-4.01,1972,1,81,France_Ile_de_Batz_1971,ID1-81
France,Ile de Batz,48.75,-4.01,1972,1,82,France_Ile_de_Batz_1971,ID1-82
France,Ile de Batz,48.75,-4.01,1972,1,83,France_Ile_de_Batz_1971,ID1-83
France,Ile de Batz,48.75,-4.01,1972,1,84,France_Ile_de_Batz_1971,ID1-84
France,Ile de Batz,48.75,-4.01,1972,1,85,France_Ile_de_Batz_1971,ID1-85
France,Ile de Batz,48.75,-4.01,1972,1,86,France_Ile_de_Batz_1971,ID1-86
France,Ile de Batz,48.75,-4.01,1972,1,87,France_Ile_de_Batz_1971,ID1-87
France,Ile de Batz,48.75,-4.01,1972,1,88,France_Ile_de_Batz_1971,ID1-88
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,1,France_Port_Haliguen_Quiberon_1972,ID2-1
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,2,France_Port_Haliguen_Quiberon_1972,ID2-2
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,3,France_Port_Haliguen_Quiberon_1972,ID2-3
